N,M,Area,Ejecucion(ms),Busqueda(h(t)),Movimientos,Giros
42,42,1764,22.3268,4948.083333333333,1987,712
42,42,1764,57.6032,7773.74999999986,2973,1164
42,42,1764,98.6311,10090.66666666669,3745,1556
42,42,1764,25.2188,5181.7499999999745,2097,744
42,42,1764,29.7884,5733.333333333303,2237,852
42,42,1764,240.3634,19530.500000000306,6134,3098
42,42,1764,107.3734,10603.250000000058,3999,1592
42,42,1764,14.9606,3976.500000000045,1627,574
43,43,1849,101.9919,10769.666666666733,4054,1629
43,43,1849,4.628,2001.8333333333214,922,259
43,43,1849,47.2411,7182.999999999895,2787,1073
43,43,1849,15.7682,4150.4166666666915,1696,584
43,43,1849,58.0683,7733.666666666527,3029,1141
43,43,1849,0.6519,700.6666666666673,329,87
43,43,1849,86.1412,9666.41666666665,3711,1456
43,43,1849,4.6655,2403.1666666666674,954,348
43,43,1849,89.0307,10059.083333333343,3768,1521
43,43,1849,23.6303,5011.416666666657,2020,709
44,44,1936,89.9421,10152.583333333348,3821,1559
44,44,1936,21.8664,4896.250000000005,1913,734
44,44,1936,36.261,5775.4166666666115,2415,804
44,44,1936,100.5022,10154.250000000005,3780,1549
44,44,1936,184.6426,16494.749999999654,5531,2550
44,44,1936,17.8843,3994.250000000039,1716,551
44,44,1936,5.3679,2417.4999999999973,1028,321
44,44,1936,1.3785,1089.583333333335,487,143
44,44,1936,3.2553,1805.083333333327,785,242
44,44,1936,30.2454,5518.083333333318,2257,779
45,45,2025,38.4409,6330.749999999947,2565,897
45,45,2025,68.0829,8738.166666666566,3281,1330
45,45,2025,110.2988,10863.08333333341,4168,1620
45,45,2025,5.2565,2377.1666666666665,1010,331
45,45,2025,59.9127,7781.7499999998545,3084,1149
45,45,2025,127.4397,12272.916666666843,4489,1898
45,45,2025,69.7711,8934.416666666582,3486,1298
45,45,2025,16.1958,3683.750000000023,1624,480
45,45,2025,6.9791,2799.2500000000077,1164,397
45,45,2025,3.2861,1657.9999999999957,774,203
46,46,2116,30.5323,5935.916666666605,2294,888
46,46,2116,41.8005,6417.249999999936,2588,922
46,46,2116,367.22,24893.000000001957,7633,4047
46,46,2116,101.2298,10304.166666666699,3961,1525
46,46,2116,140.7091,12528.916666666933,4633,1911
46,46,2116,45.2608,6697.666666666588,2696,961
46,46,2116,8.631,3400.0833333333526,1299,515
46,46,2116,43.688,7158.416666666557,2847,1030
46,46,2116,32.2767,5925.9166666666315,2341,855
46,46,2116,62.0231,8014.333333333184,3094,1188
47,47,2209,11.5582,3454.083333333363,1453,490
47,47,2209,1.7473,1163.3333333333337,565,136
47,47,2209,73.3014,8941.749999999898,3461,1331
47,47,2209,43.4856,6577.499999999923,2567,966
47,47,2209,116.7687,11284.500000000107,4281,1704
47,47,2209,38.2162,6242.916666666619,2509,908
47,47,2209,198.797,16384.166666666802,5668,2566
47,47,2209,220.5408,15596.58333333394,5663,2447
47,47,2209,19.4994,4262.166666666703,1767,590
47,47,2209,96.0664,9770.583333333341,3714,1468
48,48,2304,71.8392,8704.99999999989,3393,1280
